"allZips","nonProfitHousingCount"
"90001",1
"90002",7
"90003",4
"90255",3
"90058",2
"90011",5
"90059",7
"90061",2
"90044",9
"90004",5
"90020",4
"90010",12
"90005",1
"90006",4
"90057",15
"90007",7
"90015",7
"90008",1
"90043",5
"90016",3
"90018",5
"90302",4
"90019",7
"90045",2
"90083",1
"90301",9
"90245",1
"90250",3
"90021",3
"90037",9
"90012",5
"90013",9
"90071",2
"90017",15
"90014",3
"90232",5
"90036",1
"90022",2
"90040",6
"91754",3
"90640",4
"91755",3
"90023",7
"90033",7
"90270",2
"90024",1
"90064",1
"90212",1
"90210",1
"90404",1
"90069",3
"90403",5
"90405",4
"90401",2
"90291",18
"90026",16
"90027",1
"90029",3
"90039",1
"91204",2
"90028",6
"90078",1
"90038",4
"90068",1
"90031",1
"90065",3
"90032",4
"91803",3
"91801",3
"90042",4
"90230",3
"90201",6
"90041",3
"91206",4
"91205",6
"91105",1
"90047",1
"90046",10
"91436",1
"91403",2
"90222",6
"90292",1
"91423",1
"91604",1
"90280",3
"90241",1
"90242",2
"90220",5
"90221",2
"90723",2
"90805",5
"90247",5
"90502",1
"90504",1
"90249",1
"90650",4
"90670",5
"90706",4
"90660",2
"90606",2
"90260",2
"90277",3
"90503",4
"90505",1
"90501",1
"91361",2
"91362",1
"91320",1
"91360",3
"91307",3
"91364",1
"91367",1
"91303",2
"91304",4
"93065",1
"90717",2
"90732",1
"90710",3
"90731",3
"90745",4
"90744",1
"91306",1
"91335",13
"90601",1
"90602",2
"90605",1
"91746",1
"91732",4
"91731",4
"90604",2
"90638",1
"90631",3
"90621",2
"92835",1
"90620",1
"90623",1
"90630",2
"92804",18
"92801",14
"92832",1
"90715",1
"90716",2
"90720",1
"90680",1
"92821",9
"91748",1
"92831",1
"90712",2
"90704",1
"90807",1
"90806",6
"90815",5
"90803",1
"90804",2
"90831",1
"90802",11
"90810",1
"92649",1
"90814",1
"90755",1
"92647",2
"92648",2
"92683",2
"92655",2
"90813",8
"91001",1
"91104",7
"91109",1
"91103",11
"91006",1
"91016",2
"91007",2
"91010",5
"91107",6
"91775",1
"91776",1
"91106",1
"91706",8
"91702",3
"91042",4
"91203",1
"91102",1
"91101",3
"91116",1
"91040",1
"91352",6
"91504",1
"91331",10
"91605",5
"91502",7
"93063",2
"91311",1
"91324",3
"91355",2
"91387",1
"91326",1
"91344",6
"91342",14
"91325",4
"91406",1
"91411",1
"93010",1
"93011",2
"93066",1
"93033",1
"93030",3
"93041",1
"91343",15
"91402",10
"91405",6
"91606",1
"91601",5
"91607",1
"93551",2
"91401",5
"91602",1
"91701",2
"91730",10
"91740",1
"91741",1
"91724",4
"91791",1
"91790",2
"91710",3
"91762",2
"91763",4
"91766",4
"91767",1
"91764",3
"91786",2
"91768",2
"92886",3
"92887",1
"91711",3
"91750",2
"91744",4
"91792",3
"91773",2
"91770",1
"91737",1
"91739",1
"92336",1
"92335",9
"92509",1
"92860",2
"92517",1
"92879",1
"92516",1
"92021",6
"92019",1
"92040",3
"92020",4
"92071",4
"91941",1
"92065",2
"91910",3
"91977",1
"92114",1
"91945",2
"91950",9
"91911",2
"91932",1
"92154",3
"92173",4
"92113",8
"91942",1
"92115",2
"92105",9
"92102",3
"92084",1
"92028",3
"92085",1
"92083",2
"92056",3
"92026",1
"92058",1
"92069",8
"92075",1
"92024",1
"92009",3
"92130",2
"92078",3
"92129",2
"92126",1
