ZIPCODE,Total Renter Households,Renter Median Household Income,Renter Families in Poverty,Renter Households less than 10k,Renter Households 10K to 19999,Renter Households 20K to 34999E,Renter Households 35K to 49999,Renter Households 50K to 74999,Renter Households 75K to 99999,Renter Households 100KorMoreE
90001,8849,32405,2560,982,1425,2349,1464,1453,744,432
90002,8166,25625,2738,1076,2105,2036,1246,874,360,469
90003,12271,28731,3706,1671,2571,2887,1987,1601,837,717
90004,18301,43160,1833,1181,2180,3713,3609,3554,1646,2418
90005,15139,32805,1880,1252,3010,3628,2474,2626,1074,1075
90006,17711,33424,3119,1353,3378,4502,3338,2856,1074,1210
90007,10540,22822,1342,2427,2357,2022,1166,1311,770,487
90008,9830,28564,1064,1330,2360,1980,1730,1408,494,528
90010,1541,50469,106,139,165,335,124,295,121,362
90011,17947,32136,6079,1792,3530,4419,3307,2558,1228,1113
90012,11429,40270,1044,1130,2547,1627,1071,1511,965,2578
90013,6359,18873,135,1562,1709,884,327,351,317,1209
90014,5326,31549,126,1054,1292,378,346,555,376,1325
90015,8187,33364,999,1190,1490,1494,929,709,615,1760
90016,10572,34971,1495,1413,1607,2270,1484,1826,919,1053
90017,10434,30748,1784,1237,2410,2158,1381,952,834,1462
90018,11430,31694,1822,1251,2317,2526,1853,1607,921,955
90019,17805,42435,1771,1226,2591,3634,2507,3157,1758,2932
90020,14913,44834,1200,987,1554,3222,2535,3508,1610,1497
90021,1598,13618,79,473,535,116,65,117,64,228
90023,8360,36195,1979,696,1411,1942,1605,1337,678,691
90024,11597,45425,350,2651,1130,1206,1194,1542,892,2982
90025,16224,75592,447,1171,993,1534,1715,2622,2396,5793
90026,19624,50383,2055,1346,2578,3146,2683,3267,2392,4212
90027,17665,54409,659,1254,2522,2467,2133,3067,2426,3796
90028,15868,42350,679,1660,2755,2408,1830,3213,1441,2561
90029,12715,36531,1417,922,2322,2871,1799,2322,1224,1255
90031,7882,36300,1373,792,1373,1621,1148,1528,707,713
90032,6729,38154,1398,557,1001,1518,1201,1063,715,674
90033,10833,31447,2585,966,2557,2322,1801,1594,771,822
90034,20893,65405,646,1466,1080,2522,2923,3850,3608,5444
90035,8302,70587,336,699,706,1015,758,1358,1130,2636
90036,15157,73959,260,1100,911,1467,1289,2976,1760,5654
90037,13214,27464,3298,1417,3451,3067,2265,1828,540,646
90038,10578,36669,1129,1062,1806,2198,1268,1961,1094,1189
90039,6261,72342,346,269,574,739,562,1091,1010,2016
90041,4589,53163,254,302,562,723,635,872,493,1002
90042,11524,48447,1492,722,1388,2095,1757,2411,1136,2015
90043,7895,23600,1405,1229,2310,1672,864,860,335,625
90044,20111,27142,4956,2656,4709,4889,3045,2377,1290,1145
90045,7473,68350,309,515,556,1093,748,1152,935,2474
90046,22837,57441,197,1732,2901,3052,2462,3842,2807,6041
90047,7701,25381,1203,1392,1766,1635,921,827,514,646
90048,8380,81777,113,476,429,672,508,1675,1333,3287
90049,8149,93431,219,617,343,584,495,1205,1154,3751
90056,1123,60255,33,74,80,70,185,280,237,197
90057,16423,32798,2873,1417,3607,3546,2505,2810,1410,1128
90058,677,17974,274,208,154,136,59,59,56,5
90059,5730,23123,2049,1083,1381,1247,816,630,399,174
90061,4309,28109,1082,610,973,892,777,429,321,307
90062,5610,30000,1274,772,1236,1170,818,787,437,390
90063,8193,38954,1691,572,1318,1814,1446,1636,822,585
90064,4799,67056,161,676,252,544,464,708,538,1617
90065,7951,43594,1060,616,1122,1367,1297,1525,731,1293
90066,15838,66742,713,769,1100,1904,2029,3136,2388,4512
90067,243,61776,0,16,9,42,41,37,29,69
90068,5811,53567,56,699,493,791,664,1058,819,1287
90069,7923,80210,11,342,800,636,699,1198,1099,3149
90071,0,NA,0,0,0,0,0,0,0,0
90073,0,NA,0,0,0,0,0,0,0,0
90077,509,115673,10,19,35,12,35,62,53,293
90089,7,NA,4,3,4,0,0,0,0,0
90094,2702,120122,112,112,208,126,120,373,154,1609
90095,0,NA,0,0,0,0,0,0,0,0
90210,2289,93531,118,218,253,99,104,189,352,1074
90211,2625,63694,101,190,205,332,221,523,290,864
90212,4170,79783,272,450,449,354,143,589,638,1547
90230,5920,57660,708,338,755,968,549,934,643,1733
90232,4012,76211,105,330,268,379,382,616,705,1332
90245,3701,74450,101,139,191,363,311,876,493,1328
90247,9714,38884,1322,928,1383,2076,1269,1914,1021,1123
90248,1105,41490,185,36,144,253,278,229,54,111
90262,8898,38378,2148,667,1322,2029,1910,1505,898,567
90265,1977,103641,39,199,73,91,133,295,165,1021
90272,1730,108750,58,76,117,260,106,107,153,911
90275,3430,85455,120,200,115,440,212,543,460,1460
90280,13830,38113,2818,725,2053,3404,2705,2678,1261,1004
90290,491,92585,28,61,0,34,46,40,107,203
90291,9157,82505,272,643,791,1057,741,1110,985,3830
90292,8572,104089,247,294,494,529,607,1193,811,4644
90293,3530,96311,0,140,200,274,285,501,402,1728
90301,9011,38243,1125,844,1385,1984,1502,1816,821,659
90302,7845,40199,1110,789,957,1704,1222,1695,703,775
90304,4585,36053,906,185,594,1396,788,890,447,285
90305,2052,54778,143,143,234,226,319,451,244,435
90402,1517,92367,12,173,127,149,107,138,100,723
90403,9942,94555,146,605,987,749,456,1200,1250,4695
90404,7607,66476,237,491,580,918,899,1299,1026,2394
90405,9331,73537,210,682,1050,982,956,1071,1249,3341
